property_collateral_id,collateral_id,address_line,city,country_code,postal_code,building_area_m2,lettable_area_m2,occupied_area_m2,condition_of_property,completion_status,current_market_status,current_annual_passing_rent,valuation_currency,initial_valuation_date,latest_valuation_date,created_at
29,29,435 Main Street,Amsterdam,IE,77153,5867.67,6513.33,990.08,fair,planned,liquid,476285.67,EUR,2021-12-06,2023-05-03,2023-05-03T16:55:51+00:00
30,30,264 Main Street,Brussels,NL,27390,1782.57,8424.9,1629.57,poor,completed,illiquid,335453.83,USD,2024-01-10,2025-11-02,2025-11-02T20:40:26+00:00
31,31,463 Main Street,London,IT,72405,2903.34,2162.11,7147.39,poor,planned,normal,333266.24,GBP,2020-10-01,2022-03-22,2022-03-22T05:34:08+00:00
34,34,124 Main Street,London,IT,72026,8371.12,4711.38,4680.23,good,planned,illiquid,420498.38,EUR,2023-01-04,2025-05-26,2025-05-26T09:34:00+00:00
38,38,302 Main Street,Amsterdam,PT,20448,5353.46,5162.14,2322.17,fair,completed,illiquid,203514.78,EUR,2023-05-30,2026-02-17,2026-02-17T18:39:40+00:00
39,39,620 Main Street,Paris,PT,98614,9627.53,5316.1,2201.81,fair,completed,normal,531830.58,GBP,2019-02-21,2022-01-07,2022-01-07T10:33:56+00:00
40,40,174 Main Street,Berlin,DE,59116,433.63,3587.03,7205.44,good,completed,liquid,410732.22,USD,2021-08-22,2024-04-28,2024-04-28T01:06:33+00:00
43,43,816 Main Street,Dublin,BE,28182,4822.17,6919.35,8688.45,excellent,completed,liquid,346030.38,EUR,2022-11-24,2023-04-04,2023-04-04T23:28:18+00:00
45,45,923 Main Street,Berlin,IT,38545,2589.42,7581.78,5141.73,fair,planned,liquid,293697.1,GBP,2024-03-03,2025-02-25,2025-02-25T08:56:34+00:00
46,46,764 Main Street,London,DE,81949,185.97,8104.9,9016.58,poor,under_construction,liquid,189074.19,GBP,2021-09-26,2024-06-15,2024-06-15T03:39:17+00:00
47,47,148 Main Street,New York,US,88105,4675.57,9504.96,9372.22,excellent,completed,illiquid,132258.65,GBP,2020-10-04,2023-03-07,2023-03-07T23:18:45+00:00
48,48,912 Main Street,Madrid,GB,75905,7866.84,7308.07,2968.13,fair,completed,liquid,149318.58,EUR,2022-05-07,2023-07-16,2023-07-16T22:52:26+00:00
50,50,182 Main Street,Brussels,IT,25318,11260.44,139.6,1394.31,good,planned,illiquid,473608.13,GBP,2025-07-14,2025-09-29,2025-09-29T00:22:10+00:00
51,51,57 Main Street,Berlin,NL,73874,3016.39,6601.96,4744.59,fair,planned,illiquid,479512.79,USD,2023-08-06,2024-03-31,2024-03-31T04:18:28+00:00
52,52,389 Main Street,Dublin,PT,42697,5075.0,4643.64,9095.12,fair,planned,normal,12811.14,EUR,2022-05-12,2024-02-25,2024-02-25T03:13:46+00:00
55,55,752 Main Street,Milan,ES,65126,2291.56,4457.69,5216.39,excellent,planned,illiquid,571670.91,USD,2021-05-13,2022-07-21,2022-07-21T03:24:50+00:00
56,56,955 Main Street,Lisbon,NL,99830,5997.28,4702.82,8596.21,fair,completed,liquid,486728.08,GBP,2021-06-18,2022-08-24,2022-08-24T09:55:12+00:00
57,57,286 Main Street,Lisbon,ES,86165,10662.04,876.21,3860.76,excellent,completed,liquid,54682.14,USD,2023-09-24,2024-12-09,2024-12-09T18:21:57+00:00
63,63,150 Main Street,Milan,DE,67431,1735.53,5373.19,5074.2,poor,under_construction,illiquid,599741.43,USD,2019-09-12,2022-02-10,2022-02-10T14:21:25+00:00
65,65,150 Main Street,Paris,IE,58454,9512.72,214.05,575.3,excellent,under_construction,liquid,129660.68,EUR,2021-01-10,2022-10-13,2022-10-13T14:27:01+00:00
67,67,330 Main Street,Dublin,IT,79797,4002.92,4311.21,5967.22,excellent,completed,illiquid,18646.79,GBP,2022-04-24,2023-09-22,2023-09-22T03:05:57+00:00
69,69,995 Main Street,Dublin,PT,34823,10541.98,6550.06,7341.9,poor,planned,liquid,358601.98,EUR,2024-04-12,2025-09-20,2025-09-20T09:21:14+00:00
71,71,345 Main Street,Berlin,GB,71152,9182.85,2781.85,4774.6,fair,planned,illiquid,16541.06,GBP,2022-09-17,2024-11-12,2024-11-12T19:00:11+00:00
72,72,327 Main Street,London,IE,66762,4005.46,6526.23,2804.23,excellent,under_construction,liquid,113190.31,EUR,2022-09-02,2023-10-20,2023-10-20T18:57:27+00:00
75,75,782 Main Street,Brussels,BE,21608,2638.3,7707.25,9166.79,poor,under_construction,illiquid,506323.21,USD,2022-06-15,2023-02-18,2023-02-18T22:28:32+00:00
76,76,616 Main Street,Madrid,IT,56570,4014.67,9275.14,8096.03,fair,under_construction,illiquid,185260.2,EUR,2021-05-16,2022-08-15,2022-08-15T08:53:46+00:00
79,79,779 Main Street,Paris,GB,82638,11876.65,341.94,7264.04,good,completed,illiquid,452232.8,USD,2022-11-25,2023-01-18,2023-01-18T00:41:25+00:00
81,81,735 Main Street,Paris,BE,58640,10874.18,5925.77,6590.25,poor,completed,illiquid,503242.47,USD,2020-07-24,2022-01-08,2022-01-08T20:32:02+00:00
82,82,849 Main Street,Amsterdam,BE,32062,3621.71,4519.06,2885.56,excellent,completed,illiquid,454550.64,GBP,2020-12-19,2022-07-01,2022-07-01T14:15:46+00:00
83,83,302 Main Street,New York,US,87681,5728.22,6713.55,7835.25,good,completed,illiquid,421408.13,EUR,2023-06-18,2026-01-07,2026-01-07T06:40:03+00:00
84,84,640 Main Street,Brussels,FR,99677,1512.0,2169.63,7759.16,poor,planned,illiquid,335850.46,GBP,2023-04-26,2024-03-15,2024-03-15T10:42:57+00:00
85,85,491 Main Street,Lisbon,US,54473,798.73,8466.3,1880.33,excellent,planned,illiquid,562926.4,GBP,2020-08-30,2023-06-27,2023-06-27T09:54:28+00:00
87,87,979 Main Street,Berlin,ES,70341,2645.78,3366.2,4343.91,good,planned,normal,442198.85,GBP,2023-07-25,2024-07-06,2024-07-06T13:40:59+00:00
88,88,289 Main Street,Milan,FR,73126,10202.21,9994.79,8555.38,poor,completed,illiquid,480790.11,USD,2021-10-24,2023-05-18,2023-05-18T16:37:04+00:00
90,90,699 Main Street,Madrid,GB,63226,10224.6,1558.92,4909.29,excellent,completed,illiquid,410438.38,EUR,2020-06-02,2022-01-14,2022-01-14T21:31:09+00:00
93,93,761 Main Street,Dublin,FR,92051,8188.31,4018.74,7168.52,good,completed,illiquid,569513.89,GBP,2021-05-01,2022-03-31,2022-03-31T21:22:55+00:00
94,94,61 Main Street,London,ES,54735,2203.31,1673.82,3654.77,good,completed,normal,391371.49,EUR,2021-04-28,2024-04-21,2024-04-21T11:27:03+00:00
97,97,125 Main Street,New York,GB,34920,6874.34,6423.89,96.89,excellent,completed,liquid,208422.7,GBP,2024-01-09,2026-02-04,2026-02-04T18:52:34+00:00
99,99,768 Main Street,London,GB,72068,10331.02,371.52,2631.96,good,completed,liquid,209498.44,USD,2024-08-13,2024-12-07,2024-12-07T08:51:07+00:00
100,100,637 Main Street,Madrid,GB,45415,3713.56,8722.29,3358.54,good,completed,normal,533662.56,USD,2021-06-04,2023-06-28,2023-06-28T20:42:00+00:00
102,102,63 Main Street,Madrid,FR,74079,2974.14,9676.83,7850.55,poor,under_construction,liquid,225471.75,EUR,2020-06-05,2022-04-14,2022-04-14T06:07:40+00:00
103,103,657 Main Street,London,NL,70526,1453.67,1295.21,2749.24,excellent,planned,liquid,542543.63,EUR,2022-04-17,2023-04-26,2023-04-26T09:31:23+00:00
105,105,768 Main Street,Berlin,GB,64372,7759.66,7537.21,6659.21,poor,planned,liquid,359791.0,USD,2023-08-27,2025-02-07,2025-02-07T18:44:11+00:00
106,106,215 Main Street,Paris,DE,80837,8828.2,6007.4,5265.43,fair,planned,normal,373737.09,USD,2021-03-16,2024-01-04,2024-01-04T22:45:55+00:00
107,107,783 Main Street,Berlin,IE,39354,8589.55,1143.18,7381.06,good,completed,liquid,521542.28,GBP,2022-08-15,2023-02-06,2023-02-06T23:35:25+00:00
108,108,527 Main Street,Milan,BE,39174,11182.27,641.87,2686.36,fair,completed,illiquid,397795.72,GBP,2019-07-12,2022-09-02,2022-09-02T16:59:32+00:00
111,111,271 Main Street,Amsterdam,ES,16202,1035.04,470.95,2711.14,poor,completed,normal,159090.49,USD,2022-09-29,2022-12-04,2022-12-04T23:45:15+00:00
113,113,793 Main Street,Brussels,NL,70720,2835.67,6363.33,1699.72,excellent,completed,normal,458084.14,EUR,2024-06-23,2025-10-12,2025-10-12T01:11:02+00:00
115,115,284 Main Street,Lisbon,DE,19323,5782.56,672.68,208.94,excellent,under_construction,illiquid,339242.39,EUR,2022-10-13,2023-02-11,2023-02-11T19:33:06+00:00
117,117,467 Main Street,Amsterdam,PT,78895,8549.77,6797.94,7257.71,poor,under_construction,liquid,79667.16,EUR,2023-06-11,2023-11-13,2023-11-13T22:02:52+00:00
118,118,383 Main Street,Milan,ES,96202,10939.15,4993.77,6850.9,fair,completed,normal,187621.11,USD,2023-07-26,2023-12-27,2023-12-27T01:00:46+00:00
120,120,811 Main Street,Berlin,ES,27353,8692.48,2271.9,7828.51,good,under_construction,illiquid,504147.08,GBP,2021-03-19,2023-03-12,2023-03-12T13:40:47+00:00
121,121,827 Main Street,Dublin,PT,60344,11427.13,8294.02,8619.39,good,completed,normal,12771.26,GBP,2023-04-01,2025-04-16,2025-04-16T20:05:16+00:00
122,122,333 Main Street,Paris,FR,17317,7149.83,9763.48,8509.51,excellent,planned,liquid,45542.47,USD,2022-02-13,2023-02-17,2023-02-17T18:29:27+00:00
123,123,342 Main Street,Lisbon,IT,94866,5411.12,3707.16,9373.43,poor,under_construction,normal,525141.48,GBP,2020-10-07,2023-01-08,2023-01-08T22:42:08+00:00
124,124,400 Main Street,New York,GB,82386,6404.56,5237.25,8297.05,fair,planned,liquid,61373.12,GBP,2022-05-29,2022-09-24,2022-09-24T12:56:15+00:00
125,125,917 Main Street,Milan,PT,94757,11656.91,1542.9,7101.55,good,under_construction,illiquid,247772.28,GBP,2023-05-04,2024-12-26,2024-12-26T00:02:08+00:00
126,126,386 Main Street,Berlin,PT,63911,9136.15,6825.93,9272.73,fair,planned,illiquid,161732.67,USD,2024-03-23,2025-08-23,2025-08-23T22:26:19+00:00
127,127,928 Main Street,Brussels,DE,71263,4828.66,6596.86,8826.18,good,under_construction,liquid,118531.3,USD,2025-06-22,2025-08-28,2025-08-28T01:14:59+00:00
128,128,923 Main Street,Paris,NL,18906,9155.0,8545.12,5140.31,good,under_construction,illiquid,176376.56,USD,2021-09-06,2024-07-06,2024-07-06T13:55:09+00:00
135,135,870 Main Street,Madrid,DE,79106,2640.39,7712.97,7267.69,poor,planned,normal,564772.79,USD,2022-09-24,2025-03-17,2025-03-17T14:33:11+00:00
136,136,170 Main Street,Berlin,NL,47335,3841.88,7407.04,5815.39,excellent,under_construction,normal,563296.62,EUR,2024-10-12,2026-02-15,2026-02-15T22:55:40+00:00
137,137,575 Main Street,Dublin,US,98272,7438.79,3795.22,3360.8,excellent,planned,liquid,412595.5,USD,2022-06-19,2025-09-30,2025-09-30T04:26:32+00:00
138,138,672 Main Street,Amsterdam,GB,30621,11812.44,9276.96,1801.26,fair,planned,illiquid,344274.66,EUR,2024-04-26,2025-08-05,2025-08-05T17:24:12+00:00
139,139,376 Main Street,Paris,IT,28321,5397.64,5667.27,1754.75,fair,planned,liquid,36810.51,EUR,2022-02-22,2022-11-14,2022-11-14T11:28:35+00:00
140,140,442 Main Street,Amsterdam,PT,26784,7568.25,2768.8,7725.15,good,completed,liquid,508925.85,EUR,2022-09-13,2024-08-07,2024-08-07T09:08:41+00:00
143,143,706 Main Street,New York,IT,18241,5771.85,5950.23,5385.09,fair,under_construction,normal,516972.91,EUR,2025-02-08,2025-12-04,2025-12-04T13:36:49+00:00
144,144,358 Main Street,Milan,US,36775,11807.68,2064.99,4885.67,excellent,completed,illiquid,460676.6,USD,2023-08-17,2025-01-30,2025-01-30T10:35:52+00:00
145,145,301 Main Street,Amsterdam,FR,43110,4340.8,2535.76,3277.13,poor,under_construction,normal,127774.34,USD,2023-07-02,2025-05-09,2025-05-09T14:15:02+00:00
147,147,759 Main Street,Berlin,IT,78732,1096.8,1738.16,7233.24,fair,under_construction,normal,1945.34,GBP,2022-11-07,2023-01-25,2023-01-25T18:40:00+00:00
148,148,894 Main Street,Berlin,IT,80023,5647.75,7596.86,7729.8,fair,planned,illiquid,170020.28,EUR,2023-02-01,2025-08-09,2025-08-09T18:25:11+00:00
149,149,86 Main Street,Lisbon,IT,53905,11960.15,1062.63,1400.84,excellent,under_construction,liquid,406037.77,GBP,2022-11-15,2024-07-18,2024-07-18T00:58:09+00:00
150,150,382 Main Street,Milan,US,73896,10187.43,5665.85,8047.51,good,completed,illiquid,377762.7,USD,2022-01-24,2023-09-16,2023-09-16T17:07:36+00:00
151,151,175 Main Street,Brussels,US,20704,3438.71,1352.05,4591.36,fair,completed,illiquid,129465.6,EUR,2024-06-01,2026-02-07,2026-02-07T06:57:55+00:00
154,154,65 Main Street,Milan,ES,23099,11702.57,6551.31,7465.32,fair,completed,illiquid,586001.16,GBP,2024-06-02,2024-09-18,2024-09-18T21:34:27+00:00
157,157,96 Main Street,London,ES,98542,6941.11,3640.71,2421.65,good,under_construction,liquid,322702.73,USD,2021-12-22,2023-02-23,2023-02-23T08:53:58+00:00
158,158,10 Main Street,Lisbon,NL,47167,3636.82,546.48,4698.55,excellent,planned,illiquid,194679.42,GBP,2024-06-27,2025-04-08,2025-04-08T16:48:38+00:00
159,159,491 Main Street,Milan,GB,88840,5691.24,7756.58,6007.97,excellent,planned,liquid,93507.73,USD,2019-05-05,2022-07-18,2022-07-18T18:52:36+00:00
160,160,584 Main Street,Amsterdam,US,50962,256.87,5243.35,4472.2,poor,under_construction,liquid,156589.12,USD,2023-06-21,2025-07-10,2025-07-10T22:33:47+00:00
161,161,275 Main Street,Paris,US,50775,7318.06,9869.18,5494.83,excellent,under_construction,illiquid,426388.9,EUR,2022-01-26,2024-01-29,2024-01-29T14:28:55+00:00
163,163,18 Main Street,Berlin,ES,10599,7505.92,1547.51,8963.06,excellent,under_construction,liquid,495204.72,EUR,2022-08-18,2023-11-26,2023-11-26T03:13:28+00:00
164,164,855 Main Street,Amsterdam,NL,32381,10755.37,7348.88,6077.7,excellent,planned,illiquid,465320.43,EUR,2023-08-15,2025-04-26,2025-04-26T02:15:25+00:00
165,165,666 Main Street,Dublin,NL,12930,4761.68,2777.16,748.55,fair,completed,normal,552508.69,EUR,2023-05-11,2024-04-01,2024-04-01T10:47:44+00:00
166,166,954 Main Street,Madrid,PT,86022,7501.06,3503.34,5733.89,excellent,completed,illiquid,277122.17,GBP,2022-03-25,2025-06-29,2025-06-29T08:36:36+00:00
168,168,416 Main Street,Milan,PT,44429,7761.06,6306.07,4856.04,fair,under_construction,normal,190366.04,USD,2024-11-14,2025-01-01,2025-01-01T03:05:51+00:00
171,171,893 Main Street,New York,NL,38711,5912.95,8604.46,1905.66,fair,planned,illiquid,449548.68,EUR,2021-03-13,2024-01-23,2024-01-23T18:53:21+00:00
172,172,413 Main Street,Berlin,FR,22885,9521.83,4550.39,7791.06,poor,under_construction,normal,371582.7,GBP,2022-12-02,2026-02-02,2026-02-02T13:35:28+00:00
176,176,553 Main Street,Paris,FR,64976,7459.18,4764.52,1499.75,excellent,under_construction,illiquid,176960.4,USD,2022-04-06,2023-02-04,2023-02-04T17:35:55+00:00
179,179,450 Main Street,Milan,ES,49529,9557.05,4973.47,4591.05,fair,planned,liquid,469923.96,EUR,2021-09-02,2022-02-01,2022-02-01T05:16:12+00:00
181,181,253 Main Street,Berlin,GB,17241,11577.2,4660.67,6758.15,fair,planned,normal,93673.12,EUR,2025-08-23,2026-01-16,2026-01-16T13:51:20+00:00
184,184,627 Main Street,Dublin,GB,82020,5158.53,4745.04,5060.83,excellent,completed,liquid,508048.03,EUR,2024-08-26,2025-07-25,2025-07-25T01:58:45+00:00
188,188,114 Main Street,Dublin,DE,27942,5481.32,1559.31,950.55,fair,planned,illiquid,154365.79,EUR,2022-12-01,2024-06-22,2024-06-22T05:02:51+00:00
190,190,908 Main Street,Dublin,FR,90333,3780.84,2716.71,3834.98,good,planned,illiquid,578495.27,EUR,2019-10-23,2022-05-06,2022-05-06T12:42:45+00:00
191,191,185 Main Street,Milan,DE,40796,3958.92,9493.86,2454.26,good,completed,liquid,377584.69,USD,2022-10-18,2024-06-02,2024-06-02T15:19:08+00:00
192,192,213 Main Street,Brussels,ES,69441,1293.7,5059.61,1241.52,excellent,planned,liquid,111367.08,GBP,2023-05-22,2023-10-27,2023-10-27T16:30:00+00:00
196,196,776 Main Street,Madrid,DE,81533,7359.79,5111.1,4374.09,good,under_construction,liquid,582578.67,GBP,2020-06-04,2023-02-07,2023-02-07T22:34:19+00:00
199,199,511 Main Street,Madrid,BE,78992,1391.77,9753.01,9395.7,excellent,under_construction,normal,281104.83,GBP,2019-10-25,2022-02-09,2022-02-09T05:52:20+00:00
201,201,547 Main Street,London,PT,90334,7466.73,8592.41,3535.57,excellent,completed,illiquid,456818.91,USD,2019-11-14,2022-05-18,2022-05-18T22:35:02+00:00
205,205,770 Main Street,Berlin,PT,13415,7557.53,2019.39,2590.57,excellent,completed,normal,427145.13,GBP,2020-02-05,2022-03-21,2022-03-21T18:27:35+00:00
206,206,915 Main Street,Milan,IT,26780,64.54,9001.9,2848.4,fair,under_construction,illiquid,100687.3,EUR,2022-08-10,2024-02-24,2024-02-24T19:12:45+00:00
207,207,22 Main Street,Milan,IE,46625,6414.31,5889.17,1845.05,poor,completed,liquid,321274.93,GBP,2020-12-18,2023-01-16,2023-01-16T04:02:51+00:00
208,208,251 Main Street,Lisbon,DE,87062,1009.57,6034.4,5503.27,fair,completed,normal,476501.5,EUR,2021-02-19,2022-03-31,2022-03-31T19:14:42+00:00
218,218,736 Main Street,Amsterdam,IT,14468,3625.74,2220.35,8100.54,excellent,under_construction,liquid,3494.67,EUR,2023-11-24,2024-12-21,2024-12-21T22:53:58+00:00
219,219,57 Main Street,Dublin,DE,75341,9952.91,6454.08,6807.18,excellent,completed,illiquid,50694.09,USD,2020-08-08,2023-03-27,2023-03-27T17:45:08+00:00
220,220,629 Main Street,Milan,BE,32059,7102.93,3239.88,6314.15,excellent,under_construction,illiquid,181159.5,GBP,2024-09-16,2025-08-19,2025-08-19T13:28:03+00:00
221,221,303 Main Street,Dublin,PT,46278,7076.63,9382.81,2075.48,poor,completed,liquid,246725.71,GBP,2023-01-28,2024-03-03,2024-03-03T12:40:16+00:00
224,224,177 Main Street,Amsterdam,PT,18528,8600.78,2523.23,225.45,fair,under_construction,normal,413620.58,USD,2023-07-13,2026-01-09,2026-01-09T20:42:19+00:00
225,225,294 Main Street,Berlin,ES,88115,11541.28,5327.37,5594.05,poor,planned,illiquid,408639.44,USD,2021-03-15,2022-12-09,2022-12-09T00:31:44+00:00
231,231,830 Main Street,Amsterdam,BE,84054,6514.38,4632.55,606.99,good,planned,liquid,364082.67,USD,2023-09-23,2024-02-16,2024-02-16T11:45:35+00:00
232,232,443 Main Street,Milan,PT,27598,2187.11,8725.61,936.23,excellent,planned,normal,268470.73,GBP,2023-12-30,2025-11-23,2025-11-23T12:47:58+00:00
234,234,546 Main Street,Amsterdam,DE,83213,1541.86,4677.22,4257.95,poor,completed,liquid,31859.95,EUR,2022-03-12,2024-01-17,2024-01-17T06:28:39+00:00
236,236,32 Main Street,Lisbon,US,36416,1028.58,423.68,8801.44,good,planned,illiquid,44977.31,USD,2025-07-24,2025-11-15,2025-11-15T16:51:12+00:00
237,237,391 Main Street,New York,DE,75091,9850.48,3729.7,5894.2,poor,under_construction,liquid,561604.96,GBP,2022-01-12,2025-03-04,2025-03-04T22:53:45+00:00
239,239,454 Main Street,Berlin,DE,39582,4822.43,7771.44,2226.47,fair,completed,liquid,531754.51,GBP,2021-07-24,2024-06-03,2024-06-03T19:14:20+00:00
241,241,855 Main Street,Madrid,GB,50747,8124.25,3346.29,1942.1,good,planned,liquid,374585.43,EUR,2022-03-26,2023-02-21,2023-02-21T02:02:25+00:00
243,243,137 Main Street,Amsterdam,DE,50364,2207.84,8363.18,3436.61,poor,planned,illiquid,81734.45,EUR,2022-05-14,2023-04-15,2023-04-15T21:01:15+00:00
245,245,77 Main Street,Berlin,FR,86885,10356.76,5126.85,7766.53,poor,completed,normal,360406.42,USD,2025-03-17,2026-01-03,2026-01-03T12:23:01+00:00
246,246,319 Main Street,Milan,NL,97703,5592.37,8954.11,965.44,fair,under_construction,liquid,257135.58,USD,2019-07-12,2022-02-25,2022-02-25T01:01:54+00:00
248,248,771 Main Street,London,FR,56730,5201.11,3073.87,1332.34,excellent,completed,illiquid,22836.27,EUR,2022-06-09,2023-12-15,2023-12-15T22:58:06+00:00
252,252,221 Main Street,Paris,GB,41037,8210.77,1879.36,5308.14,good,under_construction,illiquid,40123.42,EUR,2022-09-20,2025-08-11,2025-08-11T14:23:54+00:00
257,257,219 Main Street,Brussels,IT,80804,2171.34,2636.11,8983.05,excellent,under_construction,illiquid,70930.81,GBP,2024-06-02,2025-03-12,2025-03-12T04:32:22+00:00
260,260,377 Main Street,Milan,BE,75560,1348.74,6051.6,769.04,poor,planned,normal,480352.27,EUR,2024-12-13,2025-07-31,2025-07-31T08:19:55+00:00
261,261,338 Main Street,Lisbon,BE,18676,8221.4,2687.13,23.38,good,completed,normal,444572.13,USD,2022-04-17,2024-07-29,2024-07-29T19:26:56+00:00
263,263,117 Main Street,Berlin,NL,33834,8297.09,930.43,7891.13,excellent,under_construction,liquid,104958.34,GBP,2023-06-22,2024-08-06,2024-08-06T11:39:01+00:00
266,266,798 Main Street,Milan,GB,53365,10920.6,8247.22,9206.94,excellent,planned,normal,141912.33,USD,2023-11-21,2024-12-21,2024-12-21T03:00:21+00:00
268,268,649 Main Street,Lisbon,DE,93112,3586.94,4189.77,5917.92,excellent,completed,liquid,267564.28,USD,2025-03-24,2025-12-15,2025-12-15T20:33:49+00:00
271,271,969 Main Street,Dublin,ES,63617,10862.49,6929.19,7898.3,fair,completed,illiquid,448651.53,USD,2023-09-23,2024-03-31,2024-03-31T10:23:43+00:00
272,272,727 Main Street,Amsterdam,NL,74542,5747.8,9075.82,2873.74,fair,planned,liquid,285389.6,EUR,2021-06-05,2023-08-23,2023-08-23T07:36:34+00:00
273,273,158 Main Street,Lisbon,GB,49488,6213.93,6252.7,8352.18,good,completed,normal,261382.74,USD,2023-06-24,2024-04-06,2024-04-06T09:34:30+00:00
274,274,982 Main Street,Paris,IE,88409,1176.59,9428.01,8034.01,excellent,under_construction,normal,232347.43,EUR,2020-12-17,2022-10-03,2022-10-03T14:46:24+00:00
278,278,450 Main Street,Amsterdam,IT,26242,1345.76,8560.07,5077.67,excellent,under_construction,liquid,269467.97,EUR,2022-07-11,2025-06-02,2025-06-02T13:47:53+00:00
282,282,625 Main Street,Amsterdam,ES,36760,10299.47,148.48,137.83,excellent,under_construction,normal,44661.6,EUR,2022-09-05,2025-10-26,2025-10-26T13:45:18+00:00
285,285,593 Main Street,Dublin,DE,73240,9253.57,690.53,4319.98,excellent,planned,liquid,126285.44,GBP,2021-07-04,2022-07-20,2022-07-20T16:05:02+00:00
287,287,44 Main Street,Dublin,DE,94873,8426.12,5287.58,1760.41,fair,planned,illiquid,523927.99,GBP,2021-04-23,2023-11-14,2023-11-14T23:45:40+00:00
289,289,610 Main Street,Madrid,IE,36048,4996.53,2576.99,408.99,excellent,planned,normal,513355.87,GBP,2021-07-20,2022-01-13,2022-01-13T11:53:44+00:00
290,290,303 Main Street,Amsterdam,ES,62848,2059.13,7581.35,273.84,fair,planned,liquid,75634.95,GBP,2023-07-23,2024-04-29,2024-04-29T16:56:45+00:00
292,292,856 Main Street,Milan,BE,41248,9614.4,7333.29,657.44,poor,completed,normal,442846.16,USD,2021-04-27,2024-05-03,2024-05-03T12:00:05+00:00
294,294,591 Main Street,Brussels,PT,58648,5376.09,9176.76,1330.67,fair,planned,normal,439009.25,EUR,2025-04-20,2025-09-24,2025-09-24T03:24:53+00:00
295,295,275 Main Street,Brussels,PT,62139,314.15,5533.51,3551.53,fair,under_construction,normal,507505.67,GBP,2019-05-23,2022-05-11,2022-05-11T22:35:19+00:00
298,298,242 Main Street,Lisbon,US,72213,11492.41,7735.77,5717.62,fair,planned,normal,512877.7,USD,2019-08-30,2022-09-13,2022-09-13T12:26:26+00:00
