loan_id,loan_type,origination_date,maturity_date,current_maturity_date,currency_code,channel_of_origination,amortisation_type,principal_balance,accrued_interest_on_book,accrued_interest_off_book,balance_at_default,ifrs_stage,days_past_due,default_date,current_interest_rate,current_interest_margin,interest_rate_type,product_code,code_of_conduct_status,is_non_performing,write_off_flag,created_at
11,personal,2022-09-06,2025-01-12,2025-08-28,EUR,online,bullet,105551.69,4645.65,349.76,,fair_value_pnl,1,,2.8078,2.1697,mixed,MORTGAGE_STD,waived,false,false,2022-09-06T05:46:20+00:00
12,personal,2025-04-03,2032-03-31,2032-11-16,EUR,branch,annuity,56753.03,862.99,1011.38,,ifrs_stage_1,2,,9.373,7.6329,mixed,SME_TERM,not_applicable,false,false,2025-04-03T21:32:33+00:00
13,personal,2022-05-05,2031-01-19,2031-04-03,GBP,online,bullet,52955.23,624.67,433.8,45497.86,ifrs_stage_3_impaired,436,2025-06-24,8.8328,5.1015,mixed,AUTO_LOAN,active,true,false,2022-05-05T07:52:56+00:00
14,corporate,2020-03-31,2025-04-13,2024-12-21,EUR,online,linear,9129129.18,142165.61,128751.46,,other_not_impaired,4,,6.4841,2.7706,mixed,SME_TERM,waived,false,false,2020-03-31T14:57:34+00:00
15,personal,2024-07-14,2026-09-04,2027-04-08,GBP,online,bullet,153771.89,3479.22,1131.04,122703.97,ifrs_stage_3_impaired,451,2025-06-08,7.3705,6.6202,fixed,SME_TERM,not_applicable,true,false,2024-07-14T21:07:39+00:00
16,personal,2019-06-10,2024-02-05,2024-08-23,USD,partner,annuity,119147.22,468.71,1646.03,,ifrs_stage_1,7,,8.88,4.8713,floating,BRIDGE_LOAN,waived,false,false,2019-06-10T03:04:16+00:00
17,personal,2023-02-28,2027-11-27,2028-10-14,EUR,online,annuity,181900.02,6353.23,1237.37,,ifrs_stage_2,89,,5.1408,2.3081,mixed,SME_TERM,not_applicable,false,false,2023-02-28T14:15:10+00:00
18,corporate,2024-10-06,2033-07-26,2034-01-03,GBP,online,bullet,7916561.69,128396.23,726.23,6138494.33,ifrs_stage_3_impaired,433,2026-01-05,2.6657,2.508,floating,BRIDGE_LOAN,waived,true,false,2024-10-06T04:57:08+00:00
19,personal,2019-08-17,2028-09-12,2028-10-15,USD,branch,bullet,161595.47,5465.55,3216.87,,other_not_impaired,0,,1.4357,1.2007,fixed,CONSUMER_LOAN,not_applicable,false,false,2019-08-17T19:51:52+00:00
20,corporate,2020-07-20,2026-05-10,2027-02-22,EUR,partner,linear,1247403.42,30392.3,1255.53,,other_not_impaired,7,,4.8285,2.5672,floating,BRIDGE_LOAN,active,false,false,2020-07-20T21:11:46+00:00
21,personal,2023-06-20,2026-05-21,2026-03-04,GBP,partner,linear,65787.92,3874.33,459.83,,ifrs_stage_2,91,,4.3294,3.0159,mixed,BRIDGE_LOAN,waived,false,false,2023-06-20T20:26:51+00:00
22,corporate,2022-06-22,2027-08-02,2027-11-14,USD,branch,linear,6118490.94,299618.39,72202.24,,ifrs_stage_2,61,,8.2854,8.2693,mixed,AUTO_LOAN,active,false,false,2022-06-22T22:34:29+00:00
23,corporate,2024-04-17,2028-06-28,2029-05-15,GBP,online,linear,208064.83,2104.7,879.45,,ifrs_stage_1,6,,6.4513,5.2278,floating,SME_TERM,waived,false,false,2024-04-17T03:10:30+00:00
24,personal,2019-06-04,2027-03-30,2027-08-01,EUR,branch,annuity,233071.1,13931.02,1780.16,,fair_value_pnl,0,,3.6309,1.4188,mixed,AUTO_LOAN,active,false,false,2019-06-04T03:20:20+00:00
25,personal,2023-07-05,2027-11-14,2027-05-24,USD,broker,annuity,255949.07,13163.19,1270.98,,ifrs_stage_2,76,,5.046,4.4058,fixed,MORTGAGE_STD,waived,false,false,2023-07-05T17:49:50+00:00
26,corporate,2023-03-08,2033-01-01,2032-10-18,USD,broker,annuity,5289418.49,192595.39,60743.89,5414455.15,ifrs_stage_3_impaired,607,2023-12-12,8.9177,5.6028,floating,SME_TERM,waived,true,false,2023-03-08T01:40:53+00:00
27,personal,2019-07-16,2021-04-28,2021-06-17,EUR,online,linear,160476.63,2604.99,2208.95,,fair_value_pnl,6,,3.1165,1.3889,fixed,BRIDGE_LOAN,waived,false,false,2019-07-16T09:25:16+00:00
28,corporate,2025-04-30,2029-10-02,2029-08-08,EUR,partner,annuity,5646464.88,189995.13,35305.38,,other_not_impaired,6,,7.4114,5.9336,floating,AUTO_LOAN,waived,false,false,2025-04-30T10:12:10+00:00
29,corporate,2022-05-23,2029-04-20,2030-02-18,USD,online,annuity,2136393.71,120.93,3539.14,,fair_value_pnl,0,,7.5914,7.5255,mixed,SME_TERM,waived,false,false,2022-05-23T21:14:39+00:00
30,personal,2020-03-11,2029-01-16,2029-03-20,EUR,partner,linear,70350.74,3510.35,497.22,,other_not_impaired,6,,4.6275,2.2561,fixed,MORTGAGE_STD,not_applicable,false,false,2020-03-11T21:23:03+00:00
31,personal,2020-04-26,2025-06-01,2025-09-27,EUR,partner,linear,279218.36,15552.11,4422.58,,fair_value_pnl,0,,11.5141,8.8535,mixed,SME_REVOLVER,waived,false,false,2020-04-26T00:07:40+00:00
32,corporate,2024-05-19,2027-08-12,2027-04-04,EUR,partner,bullet,5255741.39,147928.47,66360.08,,ifrs_stage_1,7,,2.1825,2.1759,fixed,AUTO_LOAN,active,false,false,2024-05-19T01:40:48+00:00
33,personal,2020-05-04,2030-03-09,2031-02-09,GBP,partner,bullet,54841.07,651.84,334.53,,other_not_impaired,5,,5.6526,5.4276,mixed,BRIDGE_LOAN,active,false,false,2020-05-04T13:29:30+00:00
34,personal,2023-10-03,2031-03-14,2031-01-13,USD,partner,annuity,80908.34,3831.71,882.16,96967.26,ifrs_stage_3_impaired,547,2025-06-22,8.8278,6.0875,floating,SME_TERM,waived,true,false,2023-10-03T02:48:20+00:00
35,personal,2021-01-31,2022-08-11,2022-08-27,EUR,branch,bullet,145029.93,5781.76,811.52,154101.64,ifrs_stage_3_impaired,197,2021-04-06,10.0471,8.194,mixed,MORTGAGE_STD,waived,true,false,2021-01-31T16:51:21+00:00
36,personal,2021-06-06,2029-12-23,2030-03-26,GBP,broker,linear,48403.06,2171.69,174.41,,fair_value_pnl,0,,5.4692,1.9222,fixed,SME_TERM,waived,false,false,2021-06-06T08:10:01+00:00
37,personal,2019-05-06,2027-03-04,2027-02-02,EUR,broker,bullet,67135.18,3284.26,374.16,,other_not_impaired,1,,6.7824,4.1902,fixed,SME_TERM,not_applicable,false,false,2019-05-06T08:55:55+00:00
38,personal,2024-07-05,2031-06-18,2032-05-23,EUR,partner,annuity,66680.84,1279.64,84.12,,other_not_impaired,6,,6.5403,2.831,mixed,AUTO_LOAN,active,false,false,2024-07-05T14:48:31+00:00
39,personal,2020-04-07,2024-07-28,2024-06-17,GBP,broker,annuity,109316.06,101.06,472.31,,ifrs_stage_1,4,,4.8486,1.8491,fixed,BRIDGE_LOAN,waived,false,false,2020-04-07T19:05:13+00:00
40,corporate,2020-01-22,2028-12-18,2029-08-30,GBP,branch,annuity,4760832.18,270915.1,38031.68,,other_not_impaired,6,,9.775,8.915,fixed,CONSUMER_LOAN,waived,false,false,2020-01-22T17:16:53+00:00
41,corporate,2020-09-01,2027-06-13,2028-04-15,USD,partner,linear,1603275.96,582.33,4921.4,,ifrs_stage_1,1,,11.6464,7.2744,fixed,SME_REVOLVER,active,false,false,2020-09-01T04:59:04+00:00
42,corporate,2023-10-07,2026-03-18,2026-12-25,GBP,broker,bullet,1491043.3,18250.63,4880.81,,ifrs_stage_2,23,,2.2298,1.7436,fixed,SME_TERM,active,false,false,2023-10-07T01:34:34+00:00
43,personal,2023-11-16,2031-10-10,2032-05-11,GBP,partner,bullet,259543.35,6086.82,3278.31,,ifrs_stage_1,6,,3.0474,1.2772,floating,MORTGAGE_STD,waived,false,false,2023-11-16T10:30:04+00:00
44,corporate,2019-11-19,2029-04-14,2029-05-19,EUR,branch,linear,4862640.55,124506.73,38914.5,,ifrs_stage_1,9,,10.4116,7.5486,fixed,CONSUMER_LOAN,not_applicable,false,false,2019-11-19T03:40:50+00:00
45,corporate,2022-05-06,2023-11-15,2023-09-24,GBP,partner,annuity,4652261.1,160290.03,84559.38,4353996.94,ifrs_stage_3_impaired,436,2023-08-30,2.8618,1.1595,mixed,MORTGAGE_STD,waived,true,false,2022-05-06T01:02:54+00:00
46,corporate,2022-08-21,2025-05-17,2025-03-11,GBP,partner,bullet,2702940.71,146230.99,68.96,,other_not_impaired,5,,6.6263,5.2188,mixed,SME_REVOLVER,waived,false,false,2022-08-21T08:46:25+00:00
47,personal,2019-12-07,2028-08-22,2028-08-23,GBP,partner,linear,62312.41,85.09,965.17,,other_not_impaired,6,,8.7806,6.3848,fixed,CONSUMER_LOAN,not_applicable,false,false,2019-12-07T11:01:17+00:00
48,personal,2022-12-06,2029-01-29,2030-01-14,GBP,broker,bullet,90240.74,1161.51,817.79,105261.67,ifrs_stage_3_impaired,348,2023-10-29,2.2677,1.4327,floating,MORTGAGE_STD,waived,true,false,2022-12-06T04:58:56+00:00
49,personal,2023-03-26,2032-05-06,2032-02-07,USD,partner,bullet,29555.65,930.81,352.5,,fair_value_pnl,0,,4.3243,0.9364,fixed,SME_TERM,waived,false,false,2023-03-26T23:10:10+00:00
50,corporate,2021-03-02,2027-09-25,2028-08-24,GBP,online,linear,483072.18,17621.7,3488.16,,fair_value_pnl,6,,8.1159,6.6937,fixed,AUTO_LOAN,waived,false,false,2021-03-02T12:06:22+00:00
51,personal,2023-11-10,2032-07-30,2033-04-26,USD,branch,bullet,158985.12,3783.18,2192.23,123186.92,ifrs_stage_3_impaired,420,2023-12-15,8.0353,6.2683,floating,AUTO_LOAN,not_applicable,true,false,2023-11-10T09:43:58+00:00
52,personal,2023-08-26,2026-02-21,2025-12-17,EUR,broker,bullet,255610.16,12923.41,4308.46,,ifrs_stage_2,29,,6.141,5.7851,floating,CONSUMER_LOAN,not_applicable,false,false,2023-08-26T04:53:53+00:00
53,corporate,2020-04-14,2028-07-05,2029-07-02,GBP,online,annuity,8833474.71,523294.12,34688.62,,ifrs_stage_1,2,,7.2945,4.1725,mixed,CONSUMER_LOAN,not_applicable,false,false,2020-04-14T08:40:55+00:00
54,personal,2024-04-19,2028-09-04,2029-06-22,EUR,branch,bullet,80664.7,3331.74,235.3,,other_not_impaired,2,,3.7544,2.0974,mixed,SME_TERM,not_applicable,false,false,2024-04-19T16:20:47+00:00
55,personal,2024-09-05,2026-01-21,2026-11-24,USD,partner,annuity,117166.03,2417.78,1397.41,,ifrs_stage_2,61,,9.7063,7.8524,floating,CONSUMER_LOAN,not_applicable,false,false,2024-09-05T18:15:21+00:00
56,corporate,2025-06-14,2033-05-24,2033-07-24,USD,online,linear,7397254.94,193297.18,80522.98,,ifrs_stage_2,59,,9.2152,5.8933,floating,SME_REVOLVER,active,false,false,2025-06-14T17:48:08+00:00
57,corporate,2019-03-04,2026-08-25,2027-02-13,EUR,partner,bullet,5518330.67,199842.17,66288.16,6398272.26,ifrs_stage_3_impaired,119,2024-07-31,6.7256,2.5483,floating,CONSUMER_LOAN,not_applicable,true,false,2019-03-04T07:40:00+00:00
58,personal,2022-01-01,2028-10-20,2028-04-25,EUR,online,linear,45611.11,1154.78,892.73,,other_not_impaired,6,,7.6711,3.2163,mixed,CONSUMER_LOAN,waived,false,false,2022-01-01T13:33:02+00:00
59,corporate,2019-01-06,2024-05-20,2024-02-17,USD,online,bullet,5221819.78,86934.75,43779.84,,ifrs_stage_1,0,,5.4169,4.8652,floating,AUTO_LOAN,waived,false,false,2019-01-06T21:04:23+00:00
60,personal,2019-09-06,2025-07-06,2025-11-13,EUR,branch,bullet,217204.75,2454.89,1878.48,,ifrs_stage_1,6,,6.0362,2.1024,mixed,CONSUMER_LOAN,active,false,false,2019-09-06T21:22:56+00:00
61,personal,2019-07-14,2026-02-04,2026-12-01,GBP,broker,annuity,143585.33,4158.64,1958.73,,fair_value_pnl,7,,7.7177,4.1834,floating,SME_REVOLVER,not_applicable,false,false,2019-07-14T18:28:12+00:00
62,personal,2020-11-21,2026-09-29,2027-02-09,EUR,partner,annuity,84439.5,2355.81,300.1,,ifrs_stage_1,0,,12.0717,7.9932,mixed,MORTGAGE_STD,active,false,false,2020-11-21T03:26:09+00:00
63,personal,2021-07-04,2030-05-03,2030-05-31,GBP,broker,bullet,22226.23,1297.18,241.92,,ifrs_stage_1,8,,9.3225,7.8357,fixed,SME_TERM,waived,false,false,2021-07-04T05:25:40+00:00
64,corporate,2022-09-01,2027-08-24,2027-08-10,USD,branch,linear,6160355.6,45834.6,98416.58,,fair_value_pnl,0,,10.9052,8.0841,mixed,SME_TERM,not_applicable,false,false,2022-09-01T11:58:23+00:00
65,personal,2020-04-24,2022-09-02,2022-10-15,USD,partner,annuity,260725.38,14725.53,4595.47,,ifrs_stage_1,4,,11.1494,7.5306,floating,CONSUMER_LOAN,active,false,false,2020-04-24T12:06:36+00:00
66,personal,2023-02-17,2030-01-07,2030-11-04,EUR,online,annuity,259967.59,5506.61,3286.22,,ifrs_stage_2,66,,10.0192,5.7084,floating,SME_TERM,active,false,false,2023-02-17T01:47:48+00:00
67,personal,2019-07-25,2021-10-29,2022-08-15,USD,partner,annuity,256321.97,1205.49,1016.29,,other_not_impaired,9,,11.5652,7.2345,mixed,CONSUMER_LOAN,waived,false,false,2019-07-25T09:46:03+00:00
68,personal,2021-08-29,2026-07-07,2026-10-15,USD,online,linear,45129.09,446.22,201.63,,ifrs_stage_1,7,,5.4957,4.8928,floating,CONSUMER_LOAN,not_applicable,false,false,2021-08-29T17:17:29+00:00
69,corporate,2020-04-12,2026-09-05,2026-09-15,GBP,branch,annuity,2706273.21,39168.51,8656.33,,ifrs_stage_1,5,,8.9522,5.0287,fixed,MORTGAGE_STD,not_applicable,false,false,2020-04-12T09:45:34+00:00
70,personal,2023-01-04,2028-06-03,2029-04-23,GBP,broker,bullet,204611.14,9332.47,1328.26,,fair_value_pnl,5,,7.5074,6.5004,floating,SME_REVOLVER,not_applicable,false,false,2023-01-04T18:22:59+00:00
71,personal,2021-11-10,2027-12-18,2028-09-07,GBP,broker,annuity,66000.58,3020.7,745.93,,fair_value_pnl,0,,4.3722,4.0787,mixed,BRIDGE_LOAN,waived,false,false,2021-11-10T03:03:05+00:00
72,corporate,2022-07-09,2030-04-08,2030-06-02,USD,online,bullet,9046412.88,501494.28,60672.66,,ifrs_stage_2,63,,7.0739,4.0857,floating,SME_TERM,not_applicable,false,false,2022-07-09T04:10:12+00:00
73,personal,2024-01-15,2028-04-23,2029-04-16,GBP,online,linear,201302.15,5927.19,4007.1,,ifrs_stage_2,54,,5.4172,3.3843,mixed,AUTO_LOAN,active,false,false,2024-01-15T23:51:53+00:00
74,personal,2025-04-26,2035-01-13,2035-06-13,USD,branch,linear,131037.05,7472.76,1169.9,,ifrs_stage_2,28,,6.4017,3.1668,mixed,SME_REVOLVER,waived,false,false,2025-04-26T22:38:04+00:00
75,personal,2024-09-04,2028-05-08,2028-09-27,USD,online,annuity,67575.47,2448.77,265.35,,ifrs_stage_1,1,,9.959,8.2502,fixed,SME_TERM,not_applicable,false,false,2024-09-04T11:13:33+00:00
76,personal,2025-01-13,2030-04-26,2030-08-28,EUR,partner,annuity,281293.21,1623.04,5260.49,,fair_value_pnl,7,,8.08,7.8165,floating,AUTO_LOAN,waived,false,false,2025-01-13T10:20:28+00:00
77,personal,2020-10-27,2023-04-26,2023-01-19,USD,broker,bullet,295738.56,15569.0,1114.06,,ifrs_stage_2,83,,8.1376,8.085,mixed,CONSUMER_LOAN,waived,false,false,2020-10-27T04:54:54+00:00
78,corporate,2020-01-31,2025-08-14,2025-06-08,GBP,branch,linear,8057867.63,76183.45,88485.92,,fair_value_pnl,4,,3.1821,1.5435,fixed,AUTO_LOAN,waived,false,false,2020-01-31T07:22:38+00:00
79,personal,2020-05-11,2027-08-30,2027-10-05,EUR,partner,annuity,150000.14,4361.65,1459.67,,fair_value_pnl,9,,4.8007,1.8777,mixed,SME_REVOLVER,not_applicable,false,false,2020-05-11T03:37:27+00:00
80,corporate,2020-04-27,2027-10-12,2028-08-13,EUR,broker,bullet,6635510.91,160853.12,42305.67,,ifrs_stage_1,6,,8.6433,5.3072,mixed,BRIDGE_LOAN,not_applicable,false,false,2020-04-27T00:55:37+00:00
81,personal,2025-01-23,2034-03-14,2034-02-21,USD,broker,linear,240668.88,12511.26,1696.83,,ifrs_stage_2,60,,2.6196,2.0835,fixed,AUTO_LOAN,waived,false,false,2025-01-23T22:44:40+00:00
82,personal,2019-05-29,2026-12-28,2026-08-20,USD,broker,annuity,286135.31,8056.44,425.99,,ifrs_stage_1,8,,9.6979,7.8161,floating,AUTO_LOAN,active,false,false,2019-05-29T17:24:22+00:00
83,corporate,2025-06-19,2033-02-24,2033-03-02,EUR,branch,annuity,3561202.29,13439.99,3665.46,,ifrs_stage_2,76,,6.7604,6.0158,fixed,SME_TERM,waived,false,false,2025-06-19T14:14:45+00:00
84,corporate,2022-02-28,2029-09-17,2030-05-01,GBP,online,bullet,7262141.45,346879.43,119438.05,,other_not_impaired,2,,9.0079,6.6841,fixed,AUTO_LOAN,active,false,false,2022-02-28T15:38:21+00:00
85,personal,2019-08-12,2026-09-26,2026-11-22,EUR,online,annuity,76086.17,761.64,840.61,,other_not_impaired,2,,7.4382,5.1155,mixed,SME_TERM,waived,false,false,2019-08-12T08:06:39+00:00
86,personal,2020-12-14,2028-02-24,2028-08-04,EUR,partner,linear,47700.25,1344.89,267.47,,fair_value_pnl,5,,7.155,3.8973,mixed,BRIDGE_LOAN,active,false,false,2020-12-14T03:14:15+00:00
87,personal,2022-09-03,2024-10-17,2025-07-25,GBP,broker,linear,197631.77,6180.67,2163.6,,fair_value_pnl,7,,8.2065,7.6094,fixed,CONSUMER_LOAN,waived,false,false,2022-09-03T23:13:24+00:00
88,personal,2024-05-22,2032-03-05,2031-11-26,GBP,branch,bullet,206639.65,8618.94,3016.45,192517.27,ifrs_stage_3_impaired,122,2026-01-18,6.3212,5.287,mixed,BRIDGE_LOAN,waived,true,false,2024-05-22T11:12:30+00:00
89,personal,2023-04-10,2025-12-11,2026-07-19,USD,partner,bullet,79429.06,1298.22,1154.34,,fair_value_pnl,2,,8.6794,7.8079,floating,MORTGAGE_STD,not_applicable,false,false,2023-04-10T23:44:51+00:00
90,personal,2022-10-11,2023-11-11,2024-09-20,GBP,partner,bullet,108196.22,6220.83,715.29,,ifrs_stage_2,88,,2.5652,1.3384,fixed,SME_REVOLVER,waived,false,false,2022-10-11T06:25:07+00:00
91,corporate,2019-12-11,2024-03-17,2023-11-08,GBP,branch,bullet,8143130.47,164593.52,59653.73,,other_not_impaired,6,,5.3031,1.7476,floating,SME_REVOLVER,waived,false,false,2019-12-11T06:53:21+00:00
92,corporate,2019-07-25,2025-04-11,2025-03-20,GBP,partner,annuity,5462037.17,169977.22,89792.69,,fair_value_pnl,1,,5.5142,1.215,mixed,MORTGAGE_STD,not_applicable,false,false,2019-07-25T06:31:31+00:00
93,corporate,2021-01-16,2029-09-14,2030-06-16,GBP,broker,annuity,6077397.62,205844.37,9055.56,,ifrs_stage_1,4,,7.7066,3.2998,mixed,SME_TERM,not_applicable,false,false,2021-01-16T17:44:35+00:00
94,corporate,2023-12-21,2030-08-31,2031-02-02,EUR,branch,annuity,4473702.61,212769.46,51286.7,,fair_value_pnl,5,,9.2022,6.447,floating,SME_REVOLVER,not_applicable,false,false,2023-12-21T23:18:26+00:00
95,corporate,2020-02-28,2024-12-06,2025-02-11,GBP,branch,bullet,8225912.12,432906.13,76017.0,,ifrs_stage_1,9,,8.8477,7.4571,floating,SME_REVOLVER,waived,false,false,2020-02-28T16:36:29+00:00
96,personal,2020-05-11,2028-05-03,2028-12-05,USD,online,bullet,65195.36,2096.51,1013.89,,fair_value_pnl,4,,9.6282,8.4638,floating,MORTGAGE_STD,active,false,false,2020-05-11T22:36:43+00:00
97,corporate,2021-01-02,2028-01-24,2028-03-03,EUR,online,annuity,7141553.52,428136.87,34224.45,,ifrs_stage_1,1,,6.2636,3.6964,fixed,CONSUMER_LOAN,waived,false,false,2021-01-02T07:19:25+00:00
98,corporate,2020-01-17,2023-07-03,2023-02-26,GBP,partner,bullet,3670864.31,143284.42,65170.82,2840433.11,ifrs_stage_3_impaired,101,2021-04-07,3.8562,2.4764,floating,CONSUMER_LOAN,active,true,false,2020-01-17T03:34:02+00:00
99,personal,2025-06-27,2034-07-30,2035-01-02,USD,partner,linear,17900.78,641.01,191.57,,other_not_impaired,2,,13.0115,8.8434,mixed,AUTO_LOAN,waived,false,false,2025-06-27T01:29:04+00:00
100,corporate,2024-12-16,2029-02-11,2029-11-24,GBP,partner,bullet,5634871.85,220748.24,56701.1,,ifrs_stage_2,44,,8.9311,7.9781,floating,BRIDGE_LOAN,waived,false,false,2024-12-16T23:34:54+00:00
101,corporate,2023-10-23,2029-11-18,2030-07-18,EUR,online,annuity,9494546.25,85006.26,34273.15,,other_not_impaired,7,,8.9324,7.381,mixed,AUTO_LOAN,waived,false,false,2023-10-23T17:03:59+00:00
102,corporate,2025-04-24,2031-08-16,2031-05-22,USD,broker,linear,4943054.55,4585.38,25060.5,,fair_value_pnl,4,,4.5406,1.3862,fixed,AUTO_LOAN,not_applicable,false,false,2025-04-24T11:10:50+00:00
103,personal,2024-11-14,2031-12-31,2032-10-01,EUR,branch,bullet,144032.41,2100.06,110.11,,other_not_impaired,3,,4.4382,3.8208,floating,BRIDGE_LOAN,not_applicable,false,false,2024-11-14T05:46:01+00:00
104,corporate,2024-05-19,2025-11-11,2026-01-03,USD,broker,annuity,5744715.62,246083.01,100364.75,,ifrs_stage_1,6,,1.9005,1.487,mixed,MORTGAGE_STD,active,false,false,2024-05-19T14:33:07+00:00
105,personal,2022-05-13,2024-08-31,2024-10-25,USD,partner,linear,148122.47,4100.15,824.94,,other_not_impaired,5,,3.9662,2.6532,floating,BRIDGE_LOAN,not_applicable,false,false,2022-05-13T23:48:29+00:00
106,corporate,2025-03-01,2034-08-07,2034-09-01,GBP,online,linear,5173815.09,275832.98,3470.88,,other_not_impaired,1,,11.0114,6.928,fixed,SME_REVOLVER,not_applicable,false,false,2025-03-01T01:14:30+00:00
107,personal,2022-08-23,2026-12-17,2027-10-02,GBP,broker,bullet,212835.67,2034.57,3229.4,,ifrs_stage_1,3,,4.7674,1.9697,fixed,CONSUMER_LOAN,active,false,false,2022-08-23T19:59:34+00:00
108,personal,2024-04-02,2030-03-17,2030-07-17,GBP,online,bullet,209157.75,12371.57,418.23,,ifrs_stage_1,6,,6.9994,5.9675,floating,AUTO_LOAN,waived,false,false,2024-04-02T03:20:30+00:00
109,personal,2021-05-11,2026-02-19,2025-10-25,GBP,online,linear,76993.53,2744.19,710.36,91823.79,ifrs_stage_3_impaired,367,2024-09-28,4.2735,3.6814,floating,BRIDGE_LOAN,waived,true,false,2021-05-11T13:04:26+00:00
110,personal,2022-09-13,2029-03-29,2029-12-29,EUR,online,bullet,279842.59,686.12,4263.08,,fair_value_pnl,2,,4.9566,1.7159,floating,BRIDGE_LOAN,waived,false,false,2022-09-13T05:01:26+00:00
111,corporate,2019-10-06,2027-05-31,2027-11-13,EUR,broker,annuity,5419486.76,51189.29,10550.1,,ifrs_stage_2,85,,5.4117,3.4587,floating,MORTGAGE_STD,active,false,false,2019-10-06T16:06:23+00:00
112,corporate,2019-03-14,2028-02-29,2027-11-20,USD,online,linear,2417726.79,19812.82,36094.03,,ifrs_stage_2,66,,12.3945,8.3491,fixed,SME_REVOLVER,not_applicable,false,false,2019-03-14T08:25:23+00:00
113,personal,2025-03-26,2026-10-09,2026-11-21,USD,online,bullet,89080.41,177.39,850.02,,other_not_impaired,7,,8.8214,6.3716,mixed,SME_REVOLVER,not_applicable,false,false,2025-03-26T03:04:20+00:00
114,personal,2024-11-12,2031-06-24,2031-03-28,USD,branch,linear,26727.23,1001.85,63.83,,ifrs_stage_1,2,,9.6346,7.1074,fixed,AUTO_LOAN,not_applicable,false,false,2024-11-12T12:41:26+00:00
115,personal,2025-01-02,2027-06-10,2028-01-29,GBP,branch,linear,251930.13,9776.28,3354.52,,other_not_impaired,3,,2.1027,1.3869,floating,MORTGAGE_STD,not_applicable,false,false,2025-01-02T15:46:56+00:00
116,personal,2021-06-27,2027-11-07,2027-09-08,EUR,partner,annuity,218054.22,7818.24,3829.74,,ifrs_stage_2,18,,4.7332,1.5639,fixed,AUTO_LOAN,not_applicable,false,false,2021-06-27T20:32:27+00:00
117,corporate,2022-07-03,2027-06-19,2027-11-18,EUR,broker,bullet,3533748.7,39770.5,14782.91,,fair_value_pnl,0,,8.0126,5.2683,fixed,SME_TERM,waived,false,false,2022-07-03T09:56:17+00:00
118,personal,2019-05-18,2028-06-10,2028-12-02,GBP,broker,bullet,23802.77,369.18,295.87,,ifrs_stage_1,0,,8.0427,5.8103,fixed,MORTGAGE_STD,waived,false,false,2019-05-18T17:17:21+00:00
