collateral_id,collateral_type,concerns_loan_id,concerns_borrower_id,valuation_date,latest_valuation_amount,collateral_currency,collateral_insured,insurance_coverage_amount,insurance_provider_id,activation_of_guarantee,configuration,created_at
113,property,88,,2025-10-12,1976377.63,USD,true,1388873.61,10,false,pool,2025-10-12T21:34:06+00:00
114,other,1338,,2024-10-25,5703722.39,GBP,true,3029790.29,2,false,pool,2024-10-25T20:56:16+00:00
115,property,828,,2023-02-11,2560066.08,GBP,true,2019317.99,12,false,mixed,2023-02-11T09:05:29+00:00
116,cash,483,1373,2024-09-02,4750203.4,GBP,false,,,false,mixed,2024-09-02T08:47:49+00:00
117,property,1434,,2023-11-13,2968930.4,USD,false,,,false,mixed,2023-11-13T18:51:08+00:00
118,property,1198,,2023-12-27,2414811.46,USD,false,,,false,pool,2023-12-27T20:20:27+00:00
119,other,164,,2022-05-01,1077346.65,USD,false,,,false,single_asset,2022-05-01T09:39:55+00:00
120,property,770,714,2023-03-12,1899103.74,EUR,false,,,false,single_asset,2023-03-12T14:13:48+00:00
121,property,532,,2025-04-16,3643754.66,USD,true,1295049.93,17,false,single_asset,2025-04-16T18:51:54+00:00
122,property,31,,2023-02-17,2221498.02,EUR,false,,,false,mixed,2023-02-17T13:20:58+00:00
123,property,246,,2023-01-08,2511857.86,EUR,true,1342031.18,5,false,single_asset,2023-01-08T19:25:07+00:00
124,property,,1539,2022-09-24,1164146.03,GBP,false,,,false,single_asset,2022-09-24T22:16:15+00:00
125,property,751,74,2024-12-26,592053.67,USD,false,,,false,mixed,2024-12-26T21:45:38+00:00
126,property,182,,2025-08-23,577644.46,USD,false,,,false,pool,2025-08-23T09:17:20+00:00
127,property,1224,1896,2025-08-28,2069168.79,EUR,true,1528778.14,10,false,pool,2025-08-28T14:50:06+00:00
128,property,729,,2024-07-06,1315919.37,USD,false,,,false,mixed,2024-07-06T04:20:53+00:00
129,guarantee,944,,2024-01-07,4310580.01,EUR,false,,,false,pool,2024-01-07T04:03:02+00:00
130,other,735,,2022-07-08,5864761.27,USD,true,3626977.2,15,false,mixed,2022-07-08T10:02:45+00:00
131,guarantee,465,698,2023-03-23,5251022.67,EUR,false,,,true,mixed,2023-03-23T20:24:27+00:00
132,cash,1419,,2025-09-22,5147997.43,EUR,true,1420540.45,1,false,single_asset,2025-09-22T11:35:20+00:00
133,guarantee,885,,2025-04-07,4262045.68,USD,false,,,false,mixed,2025-04-07T13:50:13+00:00
134,guarantee,1057,,2023-01-23,2856287.72,EUR,false,,,true,mixed,2023-01-23T06:44:51+00:00
135,property,824,,2025-03-17,5673267.46,USD,true,4243567.8,1,false,pool,2025-03-17T18:53:48+00:00
136,property,,1172,2026-02-15,2867579.13,GBP,true,820974.32,2,false,pool,2026-02-15T03:54:30+00:00
137,property,543,1865,2025-09-30,5474344.72,EUR,true,2949409.61,3,false,single_asset,2025-09-30T17:21:09+00:00
138,property,404,,2025-08-05,3790710.37,EUR,true,1827089.06,16,false,single_asset,2025-08-05T08:31:19+00:00
139,property,,1892,2022-11-14,3858519.93,GBP,false,,,false,mixed,2022-11-14T02:23:57+00:00
140,property,128,,2024-08-07,4877288.88,GBP,true,2505065.01,12,false,single_asset,2024-08-07T00:57:52+00:00
141,cash,303,,2026-01-18,2675270.46,USD,false,,,false,single_asset,2026-01-18T06:48:57+00:00
142,guarantee,,1543,2024-12-22,2763325.72,GBP,true,1120920.34,14,false,pool,2024-12-22T10:00:03+00:00
143,property,1286,,2025-12-04,5346453.55,GBP,false,,,false,pool,2025-12-04T17:01:54+00:00
144,property,1447,,2025-01-30,5587635.15,GBP,true,2151348.36,5,false,single_asset,2025-01-30T00:48:03+00:00
145,property,1117,,2025-05-09,1415605.3,USD,false,,,false,pool,2025-05-09T20:39:30+00:00
146,guarantee,544,,2024-12-26,3635673.84,USD,false,,,false,mixed,2024-12-26T18:28:23+00:00
147,property,720,,2023-01-25,5928859.19,GBP,true,4755337.96,20,false,mixed,2023-01-25T12:35:59+00:00
148,property,317,,2025-08-09,878805.99,GBP,false,,,false,single_asset,2025-08-09T12:29:26+00:00
149,property,512,,2024-07-18,4720636.65,GBP,false,,,false,single_asset,2024-07-18T23:47:24+00:00
150,property,1266,,2023-09-16,940708.56,USD,false,,,false,single_asset,2023-09-16T13:37:09+00:00
151,property,83,,2026-02-07,1634641.43,EUR,false,,,false,pool,2026-02-07T18:35:31+00:00
152,cash,658,,2022-03-30,32751.19,USD,false,,,false,mixed,2022-03-30T15:55:30+00:00
153,other,892,,2024-11-24,2007856.16,GBP,false,,,false,single_asset,2024-11-24T12:58:02+00:00
154,property,318,1672,2024-09-18,4411308.01,USD,false,,,false,pool,2024-09-18T08:22:53+00:00
155,guarantee,,2081,2022-04-14,3689049.81,EUR,false,,,false,mixed,2022-04-14T21:21:15+00:00
156,cash,1002,1463,2025-04-17,3390239.52,EUR,false,,,false,single_asset,2025-04-17T05:12:37+00:00
157,property,240,813,2023-02-23,3938944.28,EUR,true,995680.4,10,false,mixed,2023-02-23T02:02:42+00:00
158,property,,535,2025-04-08,3945005.97,USD,false,,,false,pool,2025-04-08T04:03:22+00:00
159,property,208,,2022-07-18,3301894.16,USD,true,1684613.43,11,false,mixed,2022-07-18T04:14:12+00:00
160,property,178,,2025-07-10,2860523.86,USD,false,,,false,mixed,2025-07-10T12:38:21+00:00
161,property,,1146,2024-01-29,3862903.61,EUR,true,3110565.0,10,false,mixed,2024-01-29T17:26:51+00:00
162,guarantee,158,,2024-09-19,5981742.15,GBP,true,4063127.72,6,false,mixed,2024-09-19T21:45:26+00:00
163,property,451,,2023-11-26,1672148.64,USD,true,996105.7,14,false,mixed,2023-11-26T16:02:04+00:00
164,property,228,,2025-04-26,2193062.29,USD,false,,,false,pool,2025-04-26T12:10:35+00:00
165,property,611,91,2024-04-01,243327.88,EUR,true,136825.53,5,false,mixed,2024-04-01T06:23:10+00:00
166,property,137,,2025-06-29,2391513.39,EUR,true,1171661.4,20,false,single_asset,2025-06-29T07:44:31+00:00
167,cash,73,,2026-01-06,3718693.6,EUR,true,1647291.53,6,false,pool,2026-01-06T10:03:57+00:00
168,property,609,,2025-01-01,5750521.75,EUR,true,4069119.1,19,false,mixed,2025-01-01T07:46:43+00:00
169,cash,668,,2026-02-18,5564831.3,GBP,false,,,false,mixed,2026-02-18T21:39:01+00:00
170,guarantee,590,,2024-12-29,2220007.76,GBP,true,1230885.16,15,false,single_asset,2024-12-29T14:28:02+00:00
171,property,1,,2024-01-23,1905367.27,GBP,true,1583524.97,13,false,pool,2024-01-23T21:02:42+00:00
172,property,884,,2026-02-02,454511.59,USD,false,,,false,pool,2026-02-02T08:37:05+00:00
173,other,864,826,2023-04-09,1052250.8,USD,false,,,false,single_asset,2023-04-09T04:29:00+00:00
174,guarantee,892,,2023-11-29,2521378.84,EUR,false,,,true,mixed,2023-11-29T18:57:49+00:00
175,guarantee,899,,2024-03-11,3713302.02,USD,true,1047589.69,3,false,single_asset,2024-03-11T03:57:23+00:00
176,property,700,952,2023-02-04,2545694.09,GBP,true,1566226.99,13,false,pool,2023-02-04T16:54:04+00:00
177,other,565,,2023-04-23,3612174.6,GBP,false,,,false,pool,2023-04-23T06:13:09+00:00
178,guarantee,539,,2022-06-13,5856813.93,EUR,false,,,false,mixed,2022-06-13T10:47:49+00:00
179,property,420,,2022-02-01,4621188.45,USD,true,3633093.08,12,false,single_asset,2022-02-01T09:13:37+00:00
180,guarantee,1220,,2022-09-04,2360187.21,USD,true,979006.19,18,false,mixed,2022-09-04T09:50:49+00:00
181,property,997,,2026-01-16,367315.47,USD,false,,,false,pool,2026-01-16T11:33:16+00:00
182,cash,982,,2024-03-12,5027060.96,GBP,false,,,false,mixed,2024-03-12T09:38:07+00:00
183,cash,1456,,2025-05-28,3225241.81,EUR,true,1506718.39,16,false,single_asset,2025-05-28T08:26:50+00:00
184,property,191,,2025-07-25,4235351.3,GBP,false,,,false,mixed,2025-07-25T03:42:42+00:00
185,guarantee,273,,2025-05-27,451577.4,GBP,false,,,false,pool,2025-05-27T03:46:53+00:00
186,cash,1164,,2023-12-04,4019816.69,GBP,false,,,false,single_asset,2023-12-04T06:30:02+00:00
187,guarantee,478,,2024-02-10,2535918.25,EUR,true,2015692.72,19,false,pool,2024-02-10T17:08:47+00:00
188,property,1016,1290,2024-06-22,5560326.67,GBP,true,1797459.73,16,false,mixed,2024-06-22T16:23:46+00:00
189,other,883,,2024-05-23,5327990.04,EUR,true,3267978.81,17,false,mixed,2024-05-23T15:08:06+00:00
190,property,323,,2022-05-06,5958756.71,GBP,false,,,false,pool,2022-05-06T22:11:26+00:00
191,property,,2117,2024-06-02,1914968.19,USD,false,,,false,mixed,2024-06-02T05:34:03+00:00
192,property,1475,,2023-10-27,3917047.82,GBP,true,1075232.65,2,false,pool,2023-10-27T20:24:23+00:00
193,other,354,1211,2025-11-18,151941.73,USD,true,72220.54,14,false,pool,2025-11-18T12:42:10+00:00
194,cash,1292,,2023-06-13,2757635.64,EUR,false,,,false,mixed,2023-06-13T03:17:34+00:00
195,cash,1277,,2022-12-12,1747953.63,EUR,true,904985.94,13,false,single_asset,2022-12-12T12:09:48+00:00
196,property,307,,2023-02-07,4008495.33,USD,false,,,false,mixed,2023-02-07T06:20:21+00:00
197,guarantee,920,,2024-02-17,4657841.99,USD,true,2199355.23,2,false,mixed,2024-02-17T07:55:20+00:00
198,guarantee,362,660,2022-07-03,5827216.79,EUR,true,3877918.43,13,true,single_asset,2022-07-03T08:11:02+00:00
199,property,329,1190,2022-02-09,1506019.55,GBP,false,,,false,pool,2022-02-09T06:23:02+00:00
200,guarantee,1295,,2023-12-22,5664610.23,GBP,false,,,true,pool,2023-12-22T04:42:41+00:00
201,property,,2073,2022-05-18,3565664.82,EUR,false,,,false,mixed,2022-05-18T08:53:40+00:00
202,cash,888,,2022-04-26,860160.89,EUR,true,714941.57,15,false,single_asset,2022-04-26T01:44:56+00:00
203,guarantee,1217,,2025-05-29,32890.87,GBP,true,17567.59,6,false,mixed,2025-05-29T17:22:47+00:00
204,cash,,1298,2025-04-22,3646465.51,EUR,false,,,false,pool,2025-04-22T09:49:57+00:00
205,property,,82,2022-03-21,3626940.91,EUR,true,1956112.31,13,false,single_asset,2022-03-21T10:05:06+00:00
206,property,401,,2024-02-24,5795505.28,USD,false,,,false,pool,2024-02-24T08:02:58+00:00
207,property,486,,2023-01-16,3258550.03,GBP,true,898493.1,1,false,mixed,2023-01-16T18:13:25+00:00
208,property,171,,2022-03-31,5771967.22,EUR,false,,,false,pool,2022-03-31T08:02:42+00:00
209,cash,500,2095,2022-03-19,2663141.82,GBP,false,,,false,single_asset,2022-03-19T07:50:23+00:00
210,cash,,1770,2024-10-15,2270807.9,USD,true,1243999.04,5,false,pool,2024-10-15T00:00:58+00:00
211,guarantee,1249,,2025-06-17,4352983.3,USD,true,2880480.69,14,false,mixed,2025-06-17T14:58:03+00:00
212,cash,784,1075,2022-06-04,4458856.52,USD,true,3588067.48,11,false,mixed,2022-06-04T07:40:15+00:00
213,cash,211,,2023-11-27,780956.38,GBP,false,,,false,single_asset,2023-11-27T14:05:38+00:00
214,guarantee,228,,2022-10-10,4979104.12,EUR,false,,,false,pool,2022-10-10T05:31:19+00:00
215,other,1427,,2023-08-04,2693300.75,GBP,true,1684715.94,1,false,mixed,2023-08-04T21:37:42+00:00
216,cash,974,,2023-08-07,3873274.11,USD,false,,,false,single_asset,2023-08-07T14:44:57+00:00
217,cash,93,,2023-05-28,2941818.47,USD,true,1564769.81,6,false,mixed,2023-05-28T20:18:03+00:00
218,property,523,659,2024-12-21,3638723.46,EUR,false,,,false,single_asset,2024-12-21T22:48:01+00:00
219,property,34,,2023-03-27,2479111.95,EUR,false,,,false,single_asset,2023-03-27T11:32:59+00:00
220,property,75,,2025-08-19,1973405.66,USD,false,,,false,single_asset,2025-08-19T13:03:57+00:00
221,property,,1739,2024-03-03,4964253.18,GBP,true,1277030.96,12,false,mixed,2024-03-03T01:30:52+00:00
222,guarantee,638,,2025-05-15,4803933.52,EUR,false,,,false,pool,2025-05-15T04:15:50+00:00
223,guarantee,829,390,2025-12-19,1487453.4,GBP,false,,,false,single_asset,2025-12-19T16:18:52+00:00
224,property,816,,2026-01-09,4528991.45,USD,false,,,false,single_asset,2026-01-09T07:58:16+00:00
225,property,934,,2022-12-09,3234219.5,EUR,true,2260392.7,10,false,mixed,2022-12-09T00:20:03+00:00
226,cash,836,,2024-05-25,3082616.21,EUR,false,,,false,mixed,2024-05-25T00:21:17+00:00
227,other,1487,1267,2022-02-19,629789.12,USD,false,,,false,single_asset,2022-02-19T16:46:25+00:00
228,cash,160,,2024-10-14,4035436.47,USD,true,2163061.71,8,false,pool,2024-10-14T23:13:32+00:00
229,cash,386,,2024-09-28,5650443.17,GBP,true,4055391.58,19,false,pool,2024-09-28T18:16:50+00:00
230,guarantee,404,,2024-03-07,93205.91,USD,false,,,false,single_asset,2024-03-07T22:53:20+00:00
231,property,502,,2024-02-16,4323079.82,USD,true,3221748.82,9,false,single_asset,2024-02-16T06:25:44+00:00
232,property,819,,2025-11-23,4604274.14,GBP,true,2312563.46,4,false,mixed,2025-11-23T19:11:49+00:00
233,guarantee,1009,,2023-01-29,2111214.09,USD,false,,,false,single_asset,2023-01-29T16:04:59+00:00
234,property,1089,,2024-01-17,2817698.95,USD,true,1173928.64,9,false,single_asset,2024-01-17T07:20:32+00:00
235,cash,779,,2022-11-26,5448654.9,USD,false,,,false,single_asset,2022-11-26T23:46:08+00:00
236,property,,1312,2025-11-15,3607630.7,EUR,true,1687539.07,6,false,single_asset,2025-11-15T13:05:37+00:00
237,property,,1169,2025-03-04,2392431.15,USD,false,,,false,mixed,2025-03-04T23:38:32+00:00
238,cash,1054,1235,2023-04-02,1662650.05,EUR,false,,,false,single_asset,2023-04-02T13:37:57+00:00
239,property,1048,1283,2024-06-03,2329693.91,GBP,false,,,false,single_asset,2024-06-03T00:57:02+00:00
240,other,1179,,2025-11-21,1582883.76,GBP,false,,,false,mixed,2025-11-21T15:37:05+00:00
241,property,588,,2023-02-21,2805051.81,EUR,false,,,false,single_asset,2023-02-21T04:20:24+00:00
242,guarantee,871,,2026-01-30,5799834.64,GBP,false,,,false,single_asset,2026-01-30T06:13:42+00:00
243,property,396,,2023-04-15,2256080.44,USD,false,,,false,pool,2023-04-15T16:46:50+00:00
244,guarantee,251,,2022-02-07,2457858.28,USD,false,,,true,pool,2022-02-07T08:21:09+00:00
245,property,1088,,2026-01-03,4433394.86,GBP,false,,,false,mixed,2026-01-03T17:39:10+00:00
246,property,1147,,2022-02-25,2891990.28,GBP,true,2293256.17,14,false,mixed,2022-02-25T01:35:17+00:00
247,cash,556,978,2025-04-07,4529317.55,EUR,true,1354256.67,7,false,single_asset,2025-04-07T16:38:46+00:00
248,property,1074,,2023-12-15,1452556.3,GBP,true,616603.06,4,false,mixed,2023-12-15T23:07:49+00:00
249,guarantee,,1459,2022-06-04,3260682.66,USD,false,,,false,pool,2022-06-04T23:30:26+00:00
250,guarantee,1383,,2022-12-19,2910539.36,EUR,false,,,false,pool,2022-12-19T08:23:03+00:00
251,guarantee,297,,2022-09-19,5023048.21,GBP,false,,,false,pool,2022-09-19T21:11:28+00:00
252,property,1213,76,2025-08-11,385319.55,USD,true,179426.55,14,false,pool,2025-08-11T00:41:03+00:00
253,guarantee,716,1338,2025-08-07,5444268.29,EUR,false,,,false,mixed,2025-08-07T00:52:08+00:00
254,other,1449,1581,2023-12-03,2890786.22,USD,true,1365102.5,9,false,single_asset,2023-12-03T09:44:48+00:00
